HomeTeam,AwayTeam,FTHG,FTAG
Aston Villa,Southampton,2,0
Blackburn,West Brom,1,1
Bolton,Charlton,4,1
Man City,Fulham,1,1
Middlesbrough,Newcastle,2,2
Norwich,Crystal Palace,1,1
Portsmouth,Birmingham,1,1
Tottenham,Liverpool,1,1
Chelsea,Man United,1,0
Everton,Arsenal,1,4
Birmingham,Chelsea,0,1
Charlton,Portsmouth,2,1
Crystal Palace,Everton,1,3
Fulham,Bolton,2,0
Liverpool,Man City,2,1
Man United,Norwich,2,1
Newcastle,Tottenham,0,1
Southampton,Blackburn,3,2
Arsenal,Middlesbrough,5,3
West Brom,Aston Villa,1,1
Birmingham,Man City,1,0
Crystal Palace,Chelsea,0,2
Arsenal,Blackburn,3,0
Charlton,Aston Villa,3,0
Fulham,Middlesbrough,0,2
Newcastle,Norwich,2,2
Southampton,Bolton,1,2
West Brom,Tottenham,1,1
Aston Villa,Newcastle,4,2
Blackburn,Man United,1,1
Chelsea,Southampton,2,1
Everton,West Brom,2,1
Man City,Charlton,4,0
Middlesbrough,Crystal Palace,2,1
Norwich,Arsenal,1,4
Tottenham,Birmingham,1,0
Bolton,Liverpool,1,0
Man United,Everton,0,0
Portsmouth,Fulham,4,3
Aston Villa,Chelsea,0,0
Bolton,Man United,2,2
Fulham,Arsenal,0,3
Liverpool,West Brom,3,0
Man City,Everton,0,1
Middlesbrough,Birmingham,2,1
Newcastle,Blackburn,3,0
Portsmouth,Crystal Palace,3,1
Tottenham,Norwich,0,0
Charlton,Southampton,0,0
Arsenal,Bolton,2,2
Birmingham,Charlton,1,1
Blackburn,Portsmouth,1,0
Crystal Palace,Man City,1,2
Norwich,Aston Villa,0,0
West Brom,Fulham,1,1
Chelsea,Tottenham,0,0
Everton,Middlesbrough,1,0
Southampton,Newcastle,1,2
Man United,Liverpool,2,1
Aston Villa,Crystal Palace,1,1
Bolton,Birmingham,1,1
Fulham,Southampton,1,0
Liverpool,Norwich,3,0
Man City,Arsenal,0,1
Middlesbrough,Chelsea,0,1
Newcastle,West Brom,3,1
Tottenham,Man United,0,1
Portsmouth,Everton,0,1
Charlton,Blackburn,1,0
Arsenal,Charlton,4,0
Blackburn,Aston Villa,2,2
Everton,Tottenham,0,1
Norwich,Portsmouth,2,2
Southampton,Man City,0,0
West Brom,Bolton,2,1
Birmingham,Newcastle,2,2
Chelsea,Liverpool,1,0
Man United,Middlesbrough,1,1
Crystal Palace,Fulham,2,0
Arsenal,Aston Villa,3,1
Birmingham,Man United,0,0
Blackburn,Middlesbrough,0,4
Bolton,Crystal Palace,1,0
Everton,Southampton,1,0
Fulham,Liverpool,2,4
Man City,Chelsea,1,0
West Brom,Norwich,0,0
Charlton,Newcastle,1,1
Portsmouth,Tottenham,1,0
Aston Villa,Fulham,2,0
Chelsea,Blackburn,4,0
Crystal Palace,West Brom,3,0
Liverpool,Charlton,2,0
Norwich,Everton,2,3
Tottenham,Bolton,1,2
Man United,Arsenal,2,0
Middlesbrough,Portsmouth,1,1
Newcastle,Man City,4,3
Southampton,Birmingham,0,0
Arsenal,Southampton,2,2
Birmingham,Crystal Palace,0,1
Blackburn,Liverpool,2,2
Charlton,Middlesbrough,1,2
Everton,Aston Villa,1,1
Fulham,Tottenham,2,0
Portsmouth,Man United,2,0
West Brom,Chelsea,1,4
Bolton,Newcastle,2,1
Man City,Norwich,1,1
Aston Villa,Portsmouth,3,0
Chelsea,Everton,1,0
Crystal Palace,Arsenal,1,1
Liverpool,Birmingham,0,1
Norwich,Blackburn,1,1
Southampton,West Brom,2,2
Tottenham,Charlton,2,3
Man United,Man City,0,0
Middlesbrough,Bolton,1,1
Newcastle,Fulham,1,4
Birmingham,Everton,0,1
Bolton,Aston Villa,1,2
Charlton,Norwich,4,0
Fulham,Chelsea,1,4
Liverpool,Crystal Palace,3,2
Man City,Blackburn,1,1
Southampton,Portsmouth,2,1
Tottenham,Arsenal,4,5
Newcastle,Man United,1,3
West Brom,Middlesbrough,1,2
Arsenal,West Brom,1,1
Chelsea,Bolton,2,2
Crystal Palace,Newcastle,0,2
Everton,Fulham,1,0
Man United,Charlton,2,0
Middlesbrough,Liverpool,2,0
Norwich,Southampton,2,1
Portsmouth,Man City,1,3
Blackburn,Birmingham,3,3
Aston Villa,Tottenham,1,0
Birmingham,Norwich,1,1
Bolton,Portsmouth,0,1
Charlton,Chelsea,0,4
Fulham,Blackburn,0,2
Man City,Aston Villa,2,0
Southampton,Crystal Palace,2,2
West Brom,Man United,0,3
Liverpool,Arsenal,2,1
Newcastle,Everton,1,1
Tottenham,Middlesbrough,2,0
